what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1730382169282
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1730382169282
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1730382169282
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1730382169284
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1730382169284
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1730382169284
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1730382169284
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1730382169284
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1730382169285
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1730382169285
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1730382169285
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1730382169285
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1730382169286
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1730382169286
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1730382169286
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1730382169286
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1730382169286
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1730382169286
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1730382169287
os,sysinfo,,,"win32",1730382169288
arch,sysinfo,,,"x86",1730382169288
ws,sysinfo,,,"win32",1730382169288
locale,sysinfo,,,"pt_BR",1730382169288
processors,sysinfo,,,"8",1730382169288
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1730382169288
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1730382169288
java.specification.name,sysinfo,,,"Java Platform API Specification",1730382169288
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1730382169288
java.specification.version,sysinfo,,,"1.6",1730382169288
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1730382169288
java.version,sysinfo,,,"1.6.0_23",1730382169288
java.vm.info,sysinfo,,,"mixed mode",1730382169288
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1730382169288
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1730382169288
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1730382169288
java.vm.specification.version,sysinfo,,,"1.0",1730382169288
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1730382169288
java.vm.version,sysinfo,,,"19.0-b09",1730382169288
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1730382169485
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730382169695
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1730382170706
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1730382170727
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1730382174281
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1730382177084
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1730382177086
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1730382177087
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1730382177087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382177111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382178646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382182013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382183622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382184171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382186237
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1730382188433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382188735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382196854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382196870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382200326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382207500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382254683
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1730382255478
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1730382255479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382256973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382281857
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1730382289691
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730382289717
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1730382289954
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1730382289954
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1730382289954
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1730382289954
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1730382289954
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1730382289954
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1730382289954
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1730382289954
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1730382289954
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1730382289955
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1730382289956
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1730382289956
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1730382289957
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1730382289957
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1730382289957
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1730382289958
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1730382289958
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1730382289958
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1730382289959
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1730382289959
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1730382289959
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1730382289959
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1730382289959
