what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1729826898241
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1729826898241
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1729826898241
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1729826898241
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1729826898241
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1729826898241
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1729826898241
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1729826898241
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1729826898241
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1729826898241
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1729826898241
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1729826898241
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1729826898241
os,sysinfo,,,"win32",1729826898241
arch,sysinfo,,,"x86",1729826898241
ws,sysinfo,,,"win32",1729826898241
locale,sysinfo,,,"pt_BR",1729826898241
processors,sysinfo,,,"8",1729826898241
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1729826898241
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1729826898241
java.specification.name,sysinfo,,,"Java Platform API Specification",1729826898241
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1729826898241
java.specification.version,sysinfo,,,"1.6",1729826898241
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1729826898241
java.version,sysinfo,,,"1.6.0_23",1729826898241
java.vm.info,sysinfo,,,"mixed mode",1729826898241
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1729826898241
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1729826898241
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1729826898241
java.vm.specification.version,sysinfo,,,"1.0",1729826898241
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1729826898241
java.vm.version,sysinfo,,,"19.0-b09",1729826898241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826902740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826904750
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1729826904789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1729826918206
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1729826921244
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1729826921262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826921364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826928572
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1729826933892
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1729826933892
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1729826933892
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1729826933892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826934127
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1729826977691
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1729826977706
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1729826978496
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1729826979591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826984483
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1729826986424
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1729826986424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729826988440
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1729826990551
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1729826994656
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1729826994671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827012152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1729827012159
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729827016531
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1729827016531
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729827016578
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1729827016920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827026376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827041059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729827042613
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729827044524
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729827044576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827046867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1729827046883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827049668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827049770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827052232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827053185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729827065914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1729827069152
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729827070249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729827072955
