what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829448669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829455686
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1729829455696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1729829455696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829455711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829459236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829462061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829465597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1729829465613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829468054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829468153
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729829468958
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729829475374
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729829475553
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729829475600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729829477746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1729829478961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829516353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829550763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829553191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829554125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1729829608860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729829612765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1729829613608
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729829614614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729829617088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1729829617958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829681534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829696644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829697079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829728463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1729829739073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729829742939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829930727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829939535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829940772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729829942674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729830294751
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729830297089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729830302905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729830315995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729830358845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729831843162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729831849647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729831858347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729831873826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832021361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832022630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832060684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729832066877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832088555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832245126
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832254062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832259428
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832261195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832270548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832418376
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832422557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832435127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1729832449436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832453375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832465055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1729832467764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832477631
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1729832482998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1729832500241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1729832500567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1729832501022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1729832502514
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1729832505113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832506895
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1729832516201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729832516217
